iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
WLF,Oceania,Wallis and Futuna,2021-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1286.0,1286.0,,,,11.44,11.44,,,,11246.0,,,,,,,,,,,,,79.94,,
WLF,Oceania,Wallis and Futuna,2021-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,,,,24186.0,,11246.0,,,,,,,,,,,,,79.94,,
WLF,Oceania,Wallis and Futuna,2021-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,,,,24186.0,,11246.0,,,,,,,,,,,,,79.94,,
WLF,Oceania,Wallis and Futuna,2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,,,,24186.0,,11246.0,,,,,,,,,,,,,79.94,,
WLF,Oceania,Wallis and Futuna,2021-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,,,,24186.0,,11246.0,,,,,,,,,,,,,79.94,,
WLF,Oceania,Wallis and Futuna,2021-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,,,,24186.0,,11246.0,,,,,,,,,,,,,79.94,,
WLF,Oceania,Wallis and Futuna,2021-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,,,,24186.0,,11246.0,,,,,,,,,,,,,79.94,,
WLF,Oceania,Wallis and Futuna,2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3190.0,3190.0,,,272.0,28.37,28.37,,24186.0,,11246.0,,,,,,,,,,,,,79.94,,
WLF,Oceania,Wallis and Futuna,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,,,,21874.0,,11246.0,,,,,,,,,,,,,79.94,,
WLF,Oceania,Wallis and Futuna,2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0,,,,19474.0,,11246.0,,,,,,,,,,,,,79.94,,
