iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
BGR,Europe,Bulgaria,2020-03-08,4.0,4.0,,,,,0.576,0.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,-9.64
BGR,Europe,Bulgaria,2020-03-09,4.0,0.0,,,,,0.576,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-10,4.0,0.0,,,,,0.576,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-11,7.0,3.0,,1.0,1.0,,1.007,0.432,,0.144,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.85,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-12,7.0,0.0,,1.0,0.0,,1.007,0.0,,0.144,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.85,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-13,23.0,16.0,3.286,1.0,0.0,0.143,3.31,2.303,0.473,0.144,0.0,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-14,41.0,18.0,5.857,2.0,1.0,0.286,5.901,2.591,0.843,0.288,0.144,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-15,51.0,10.0,6.714,2.0,0.0,0.286,7.34,1.439,0.966,0.288,0.0,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,-5.85
BGR,Europe,Bulgaria,2020-03-16,52.0,1.0,6.857,2.0,0.0,0.286,7.484,0.144,0.987,0.288,0.0,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-17,67.0,15.0,9.0,2.0,0.0,0.286,9.642,2.159,1.295,0.288,0.0,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-18,92.0,25.0,12.143,2.0,0.0,0.143,13.24,3.598,1.748,0.288,0.0,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.37,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-19,94.0,2.0,12.429,3.0,1.0,0.286,13.528,0.288,1.789,0.432,0.144,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.37,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-20,127.0,33.0,14.857,3.0,0.0,0.286,18.277,4.749,2.138,0.432,0.0,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.37,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-21,163.0,36.0,17.429,3.0,0.0,0.143,23.458,5.181,2.508,0.432,0.0,0.021,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-22,187.0,24.0,19.429,3.0,0.0,0.143,26.912,3.454,2.796,0.432,0.0,0.021,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,-5.46
BGR,Europe,Bulgaria,2020-03-23,201.0,14.0,21.286,3.0,0.0,0.143,28.927,2.015,3.063,0.432,0.0,0.021,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-24,218.0,17.0,21.571,3.0,0.0,0.143,31.374,2.447,3.104,0.432,0.0,0.021,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-25,242.0,24.0,21.429,3.0,0.0,0.143,34.828,3.454,3.084,0.432,0.0,0.021,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-26,264.0,22.0,24.286,3.0,0.0,0.0,37.994,3.166,3.495,0.432,0.0,0.0,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-27,293.0,29.0,23.714,3.0,0.0,0.0,42.168,4.174,3.413,0.432,0.0,0.0,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BGR,Europe,Bulgaria,2020-03-28,331.0,38.0,24.0,7.0,4.0,0.571,47.637,5.469,3.454,1.007,0.576,0.082,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
