iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
ZMB,Africa,Zambia,2020-03-18,2.0,2.0,,,,,0.109,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-03-19,2.0,0.0,,,,,0.109,0.0,,,,,,,,,,,,,,,33.0,0.002,,,,,,tests performed,,,,,,,,,,16.67,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-03-20,2.0,0.0,,,,,0.109,0.0,,,,,,,,,,,,,,25.0,58.0,0.003,0.001,,,,,tests performed,,,,,,,,,,27.78,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-03-21,2.0,0.0,,,,,0.109,0.0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,27.78,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-03-22,3.0,1.0,,,,,0.163,0.054,,,,,,,,,,,,,,,75.0,0.004,,,,,,tests performed,,,,,,,,,,27.78,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-03-23,3.0,0.0,0.429,,,0.0,0.163,0.0,0.023,,,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,27.78,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-03-24,3.0,0.0,0.429,,,0.0,0.163,0.0,0.023,,,0.0,,,,,,,,,,,103.0,0.006,,,,,,tests performed,,,,,,,,,,27.78,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-03-25,12.0,9.0,1.429,,,0.0,0.653,0.49,0.078,,,0.0,,,,,,,,,,40.0,143.0,0.008,0.002,,,,,tests performed,,,,,,,,,,27.78,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-03-26,16.0,4.0,2.0,,,0.0,0.87,0.218,0.109,,,0.0,,,,,,,,,,54.0,197.0,0.011,0.003,23.0,0.001,0.087,11.5,tests performed,,,,,,,,,,36.11,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-03-27,22.0,6.0,2.857,,,0.0,1.197,0.326,0.155,,,0.0,,,,,,,,,,72.0,269.0,0.015,0.004,30.0,0.002,0.095,10.5,tests performed,,,,,,,,,,41.67,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-03-28,28.0,6.0,3.714,,,0.0,1.523,0.326,0.202,,,0.0,,,,,,,,,,81.0,350.0,0.019,0.004,40.0,0.002,0.093,10.8,tests performed,,,,,,,,,,41.67,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-03-29,29.0,1.0,3.714,,,0.0,1.577,0.054,0.202,,,0.0,,,,,,,,,,50.0,400.0,0.022,0.003,46.0,0.003,0.081,12.4,tests performed,,,,,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-03-30,35.0,6.0,4.571,,,0.0,1.904,0.326,0.249,,,0.0,,,,,,,,,,75.0,475.0,0.026,0.004,55.0,0.003,0.083,12.0,tests performed,,,,,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-03-31,35.0,0.0,4.571,,,0.0,1.904,0.0,0.249,,,0.0,,,,,,,,,,45.0,520.0,0.028,0.002,60.0,0.003,0.076,13.1,tests performed,,,,,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-04-01,36.0,1.0,3.429,,,0.0,1.958,0.054,0.186,,,0.0,,,,,,,,,,120.0,640.0,0.035,0.007,71.0,0.004,0.048,20.7,tests performed,,,,,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-04-02,39.0,3.0,3.286,1.0,1.0,0.143,2.121,0.163,0.179,0.054,0.054,0.008,,,,,,,,,,216.0,856.0,0.047,0.012,94.0,0.005,0.035,28.6,tests performed,,,,,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-04-03,39.0,0.0,2.429,1.0,0.0,0.143,2.121,0.0,0.132,0.054,0.0,0.008,,,,,,,,,,,,,,88.0,0.005,0.028,36.2,tests performed,,,,,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-04-04,39.0,0.0,1.571,1.0,0.0,0.143,2.121,0.0,0.085,0.054,0.0,0.008,,,,,,,,,,,910.0,0.049,,80.0,0.004,0.02,50.9,tests performed,,,,,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-04-05,39.0,0.0,1.429,1.0,0.0,0.143,2.121,0.0,0.078,0.054,0.0,0.008,,,,,,,,,,54.0,964.0,0.052,0.003,81.0,0.004,0.018,56.7,tests performed,,,,,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-04-06,39.0,0.0,0.571,1.0,0.0,0.143,2.121,0.0,0.031,0.054,0.0,0.008,,,,,,,,,,17.0,981.0,0.053,0.001,72.0,0.004,0.008,126.1,tests performed,,,,,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-04-07,39.0,0.0,0.571,1.0,0.0,0.143,2.121,0.0,0.031,0.054,0.0,0.008,,,,,,,,,,106.0,1087.0,0.059,0.006,81.0,0.004,0.007,141.9,tests performed,,,,,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-04-08,39.0,0.0,0.429,1.0,0.0,0.143,2.121,0.0,0.023,0.054,0.0,0.008,,,,,,,,,,135.0,1222.0,0.066,0.007,83.0,0.005,0.005,193.5,tests performed,,,,,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-04-09,39.0,0.0,0.0,1.0,0.0,0.0,2.121,0.0,0.0,0.054,0.0,0.0,,,,,,,,,,92.0,1314.0,0.071,0.005,65.0,0.004,0.0,,tests performed,,,,,,,,,,50.93,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZMB,Africa,Zambia,2020-04-10,40.0,1.0,0.143,2.0,1.0,0.143,2.176,0.054,0.008,0.109,0.054,0.008,,,,,,,,,,29.0,1343.0,0.073,0.002,66.0,0.004,0.002,461.5,tests performed,,,,,,,,,,50.93,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
