iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
URY,South America,Uruguay,2020-03-13,4.0,4.0,,,,,1.152,1.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.93,3473727.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
URY,South America,Uruguay,2020-03-14,6.0,2.0,,,,,1.727,0.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,3473727.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
URY,South America,Uruguay,2020-03-15,8.0,2.0,,,,,2.303,0.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,3473727.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
URY,South America,Uruguay,2020-03-16,29.0,21.0,,,,,8.348,6.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,3473727.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
URY,South America,Uruguay,2020-03-17,50.0,21.0,,,,,14.394,6.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,3473727.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
URY,South America,Uruguay,2020-03-18,79.0,29.0,11.286,,,0.0,22.742,8.348,3.249,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,3473727.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
URY,South America,Uruguay,2020-03-19,94.0,15.0,13.429,,,0.0,27.06,4.318,3.866,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,3473727.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
URY,South America,Uruguay,2020-03-20,110.0,16.0,15.143,,,0.0,31.666,4.606,4.359,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,3473727.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
URY,South America,Uruguay,2020-03-21,135.0,25.0,18.429,,,0.0,38.863,7.197,5.305,,,0.0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,3473727.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
URY,South America,Uruguay,2020-03-22,158.0,23.0,21.429,,,0.0,45.484,6.621,6.169,,,0.0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,3473727.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
