iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
UZB,Asia,Uzbekistan,2020-03-15,1.0,1.0,,,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,33469199.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,
UZB,Asia,Uzbekistan,2020-03-16,6.0,5.0,,,,,0.179,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,33469199.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,
UZB,Asia,Uzbekistan,2020-03-17,10.0,4.0,,,,,0.299,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,33469199.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,
UZB,Asia,Uzbekistan,2020-03-18,15.0,5.0,,,,,0.448,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,33469199.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,
UZB,Asia,Uzbekistan,2020-03-19,23.0,8.0,,,,,0.687,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,33469199.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,
UZB,Asia,Uzbekistan,2020-03-20,33.0,10.0,4.714,,,0.0,0.986,0.299,0.141,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,33469199.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,
UZB,Asia,Uzbekistan,2020-03-21,43.0,10.0,6.143,,,0.0,1.285,0.299,0.184,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,33469199.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,
UZB,Asia,Uzbekistan,2020-03-22,43.0,0.0,6.0,,,0.0,1.285,0.0,0.179,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,33469199.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,
UZB,Asia,Uzbekistan,2020-03-23,46.0,3.0,5.714,,,0.0,1.374,0.09,0.171,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,33469199.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,
UZB,Asia,Uzbekistan,2020-03-24,50.0,4.0,5.714,,,0.0,1.494,0.12,0.171,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56,33469199.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,
