iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
GTM,North America,Guatemala,2020-02-17,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,,,,,people tested,,,,,,,,,,11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
GTM,North America,Guatemala,2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
GTM,North America,Guatemala,2020-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
GTM,North America,Guatemala,2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
GTM,North America,Guatemala,2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
GTM,North America,Guatemala,2020-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
GTM,North America,Guatemala,2020-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
GTM,North America,Guatemala,2020-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,people tested,,,,,,,,,,11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
GTM,North America,Guatemala,2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,people tested,,,,,,,,,,11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
GTM,North America,Guatemala,2020-02-26,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,0.0,0.0,0.0,,,people tested,,,,,,,,,,11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
