iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
SGP,Asia,Singapore,2020-01-23,1.0,1.0,,,,,0.171,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-01-24,3.0,2.0,,,,,0.513,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-01-25,3.0,0.0,,,,,0.513,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-01-26,4.0,1.0,,,,,0.684,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-01-27,5.0,1.0,,,,,0.855,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-01-28,7.0,2.0,1.0,,,0.0,1.197,0.342,0.171,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-01-29,7.0,0.0,1.0,,,0.0,1.197,0.0,0.171,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-01-30,10.0,3.0,1.286,,,0.0,1.709,0.513,0.22,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-01-31,13.0,3.0,1.429,,,0.0,2.222,0.513,0.244,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,17.71
SGP,Asia,Singapore,2020-02-01,16.0,3.0,1.857,,,0.0,2.735,0.513,0.317,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-02,18.0,2.0,2.0,,,0.0,3.077,0.342,0.342,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-03,18.0,0.0,1.857,,,0.0,3.077,0.0,0.317,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-04,24.0,6.0,2.429,,,0.0,4.102,1.026,0.415,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-05,28.0,4.0,3.0,,,0.0,4.786,0.684,0.513,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-06,28.0,0.0,2.571,,,0.0,4.786,0.0,0.44,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-07,30.0,2.0,2.429,,,0.0,5.128,0.342,0.415,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-08,33.0,3.0,2.429,,,0.0,5.641,0.513,0.415,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-09,40.0,7.0,3.143,,,0.0,6.837,1.197,0.537,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-10,45.0,5.0,3.857,,,0.0,7.692,0.855,0.659,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-11,47.0,2.0,3.286,,,0.0,8.034,0.342,0.562,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-12,50.0,3.0,3.143,,,0.0,8.547,0.513,0.537,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-13,58.0,8.0,4.286,,,0.0,9.914,1.367,0.733,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-14,67.0,9.0,5.286,,,0.0,11.452,1.538,0.903,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-15,72.0,5.0,5.571,,,0.0,12.307,0.855,0.952,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-16,75.0,3.0,5.0,,,0.0,12.82,0.513,0.855,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-17,77.0,2.0,4.571,,,0.0,13.162,0.342,0.781,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-18,81.0,4.0,4.857,,,0.0,13.845,0.684,0.83,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-19,84.0,3.0,4.857,,,0.0,14.358,0.513,0.83,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-20,84.0,0.0,3.714,,,0.0,14.358,0.0,0.635,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-21,85.0,1.0,2.571,,,0.0,14.529,0.171,0.44,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-22,85.0,0.0,1.857,,,0.0,14.529,0.0,0.317,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-23,89.0,4.0,2.0,,,0.0,15.213,0.684,0.342,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-24,89.0,0.0,1.714,,,0.0,15.213,0.0,0.293,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-25,91.0,2.0,1.429,,,0.0,15.555,0.342,0.244,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-26,93.0,2.0,1.286,,,0.0,15.897,0.342,0.22,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-27,93.0,0.0,1.286,,,0.0,15.897,0.0,0.22,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-28,93.0,0.0,1.143,,,0.0,15.897,0.0,0.195,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-02-29,102.0,9.0,2.429,,,0.0,17.435,1.538,0.415,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,10.92
SGP,Asia,Singapore,2020-03-01,106.0,4.0,2.429,,,0.0,18.119,0.684,0.415,,,0.0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-03-02,108.0,2.0,2.714,,,0.0,18.46,0.342,0.464,,,0.0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-03-03,110.0,2.0,2.714,,,0.0,18.802,0.342,0.464,,,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-03-04,110.0,0.0,2.429,,,0.0,18.802,0.0,0.415,,,0.0,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-03-05,117.0,7.0,3.429,,,0.0,19.999,1.197,0.586,,,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-03-06,130.0,13.0,5.286,,,0.0,22.221,2.222,0.903,,,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-03-07,138.0,8.0,5.143,,,0.0,23.588,1.367,0.879,,,0.0,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-03-08,150.0,12.0,6.286,,,0.0,25.64,2.051,1.074,,,0.0,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SGP,Asia,Singapore,2020-03-09,150.0,0.0,6.0,,,0.0,25.64,0.0,1.026,,,0.0,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
