iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
GRL,North America,Greenland,2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2584.0,2584.0,,,,4.55,4.55,,,37.04,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,,
GRL,North America,Greenland,2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,1356.0,37.04,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,,
GRL,North America,Greenland,2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,1356.0,37.04,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,,
GRL,North America,Greenland,2021-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,1356.0,37.04,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,,
GRL,North America,Greenland,2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,1356.0,37.04,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,,
GRL,North America,Greenland,2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,1356.0,37.04,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,,
GRL,North America,Greenland,2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,1356.0,37.04,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,,
GRL,North America,Greenland,2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,1356.0,37.04,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,,
GRL,North America,Greenland,2021-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,1356.0,37.04,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,,
GRL,North America,Greenland,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,1356.0,37.04,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,,
GRL,North America,Greenland,2021-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,1356.0,37.04,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,,
GRL,North America,Greenland,2021-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,1356.0,37.04,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,,
