iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BOL,South America,Bolivia,2020-03-11,2.0,2.0,,,,,0.171,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-12,2.0,0.0,,,,,0.171,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-13,3.0,1.0,,,,,0.257,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-14,10.0,7.0,,,,,0.857,0.6,,,,,,,,,,,,,,,26.0,0.002,,,,,,tests performed,,,,,,,,,,44.44,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-15,10.0,0.0,,,,,0.857,0.0,,,,,,,,,,,,,,7.0,33.0,0.003,0.001,,,,,tests performed,,,,,,,,,,44.44,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-16,11.0,1.0,1.571,,,0.0,0.942,0.086,0.135,,,0.0,,,,,,,,,,12.0,45.0,0.004,0.001,,,,,tests performed,,,,,,,,,,52.78,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-17,11.0,0.0,1.571,,,0.0,0.942,0.0,0.135,,,0.0,,,,,,,,,,5.0,50.0,0.004,0.0,,,,,tests performed,,,,,,,,,,68.52,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-18,12.0,1.0,1.429,,,0.0,1.028,0.086,0.122,,,0.0,,,,,,,,,,1.0,51.0,0.004,0.0,,,,,tests performed,,,,,,,,,,75.0,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-19,12.0,0.0,1.429,,,0.0,1.028,0.0,0.122,,,0.0,,,,,,,,,,33.0,84.0,0.007,0.003,,,,,tests performed,,,,,,,,,,75.0,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-20,15.0,3.0,1.714,,,0.0,1.285,0.257,0.147,,,0.0,,,,,,,,,,27.0,111.0,0.01,0.002,,,,,tests performed,,,,,,,,,,75.0,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-21,19.0,4.0,1.286,,,0.0,1.628,0.343,0.11,,,0.0,,,,,,,,,,,,,,20.0,0.002,0.064,15.6,tests performed,,,,,,,,,,86.11,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-22,24.0,5.0,2.0,,,0.0,2.056,0.428,0.171,,,0.0,,,,,,,,,,,228.0,0.02,,28.0,0.002,0.071,14.0,tests performed,,,,,,,,,,93.52,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-23,27.0,3.0,2.286,,,0.0,2.313,0.257,0.196,,,0.0,,,,,,,,,,45.0,273.0,0.023,0.004,33.0,0.003,0.069,14.4,tests performed,,,,,,,,,,93.52,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-24,29.0,2.0,2.571,,,0.0,2.484,0.171,0.22,,,0.0,,,,,,,,,,,,,,40.0,0.003,0.064,15.6,tests performed,,,,,,,,,,93.52,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-25,32.0,3.0,2.857,,,0.0,2.741,0.257,0.245,,,0.0,,,,,,,,,,,,,,48.0,0.004,0.06,16.8,tests performed,,,,,,,,,,93.52,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-26,43.0,11.0,4.429,,,0.0,3.684,0.942,0.379,,,0.0,,,,,,,,,,,442.0,0.038,,51.0,0.004,0.087,11.5,tests performed,,,,,,,,,,93.52,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-27,61.0,18.0,6.571,,,0.0,5.226,1.542,0.563,,,0.0,,,,,,,,,,,,,,56.0,0.005,0.117,8.5,tests performed,,,,,,,,,,93.52,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-28,74.0,13.0,7.857,,,0.0,6.339,1.114,0.673,,,0.0,,,,,,,,,,,,,,57.0,0.005,0.138,7.3,tests performed,,,,,,,,,,93.52,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-29,81.0,7.0,8.143,1.0,1.0,0.143,6.939,0.6,0.698,0.086,0.086,0.012,,,,,,,,,,,,,,58.0,0.005,0.14,7.1,tests performed,,,,,,,,,,93.52,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-30,97.0,16.0,10.0,4.0,3.0,0.571,8.31,1.371,0.857,0.343,0.257,0.049,,,,,,,,,,,697.0,0.06,,61.0,0.005,0.164,6.1,tests performed,,,,,,,,,,93.52,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BOL,South America,Bolivia,2020-03-31,107.0,10.0,11.143,6.0,2.0,0.857,9.166,0.857,0.955,0.514,0.171,0.073,,,,,,,,,,82.0,779.0,0.067,0.007,64.0,0.005,0.174,5.7,tests performed,,,,,,,,,,96.3,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
