iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
NLD,Europe,Netherlands,2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
NLD,Europe,Netherlands,2020-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
NLD,Europe,Netherlands,2020-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
NLD,Europe,Netherlands,2020-02-27,1.0,1.0,,,,,0.058,0.058,,,,,,7.0,0.409,1.0,0.058,,,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
NLD,Europe,Netherlands,2020-02-28,1.0,0.0,,,,,0.058,0.0,,,,,,8.0,0.467,9.0,0.525,,,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
NLD,Europe,Netherlands,2020-02-29,6.0,5.0,,,,,0.35,0.292,,,,,,9.0,0.525,10.0,0.584,,,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
NLD,Europe,Netherlands,2020-03-01,10.0,4.0,,,,,0.584,0.233,,,,,,11.0,0.642,20.0,1.167,2.953,0.172,30.514,1.781,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
NLD,Europe,Netherlands,2020-03-02,18.0,8.0,,,,,1.05,0.467,,,,,,10.0,0.584,34.0,1.984,,,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
NLD,Europe,Netherlands,2020-03-03,24.0,6.0,3.429,,,0.0,1.401,0.35,0.2,,,0.0,,12.0,0.7,40.0,2.334,,,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
NLD,Europe,Netherlands,2020-03-04,38.0,14.0,5.429,,,0.0,2.218,0.817,0.317,,,0.0,,15.0,0.875,53.0,3.093,,,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
