iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
MDA,Europe,Moldova,2020-03-08,1.0,1.0,,,,,0.248,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-09,1.0,0.0,,,,,0.248,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-10,3.0,2.0,,,,,0.744,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-11,3.0,0.0,,,,,0.744,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-12,3.0,0.0,,,,,0.744,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-13,6.0,3.0,0.857,,,0.0,1.487,0.744,0.212,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-14,12.0,6.0,1.714,,,0.0,2.975,1.487,0.425,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-15,23.0,11.0,3.143,,,0.0,5.702,2.727,0.779,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-16,23.0,0.0,3.143,,,0.0,5.702,0.0,0.779,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-17,30.0,7.0,3.857,,,0.0,7.437,1.735,0.956,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-18,30.0,0.0,3.857,1.0,1.0,0.143,7.437,0.0,0.956,0.248,0.248,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-19,49.0,19.0,6.571,1.0,0.0,0.143,12.147,4.71,1.629,0.248,0.0,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-20,66.0,17.0,8.571,1.0,0.0,0.143,16.361,4.214,2.125,0.248,0.0,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-21,80.0,14.0,9.714,1.0,0.0,0.143,19.832,3.471,2.408,0.248,0.0,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-22,94.0,14.0,10.143,1.0,0.0,0.143,23.302,3.471,2.514,0.248,0.0,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-23,109.0,15.0,12.286,1.0,0.0,0.143,27.021,3.718,3.046,0.248,0.0,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-24,125.0,16.0,13.571,1.0,0.0,0.143,30.987,3.966,3.364,0.248,0.0,0.035,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-25,149.0,24.0,17.0,1.0,0.0,0.0,36.936,5.949,4.214,0.248,0.0,0.0,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-26,177.0,28.0,18.286,1.0,0.0,0.0,43.877,6.941,4.533,0.248,0.0,0.0,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-27,199.0,22.0,19.0,2.0,1.0,0.143,49.331,5.454,4.71,0.496,0.248,0.035,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-28,231.0,32.0,21.571,2.0,0.0,0.143,57.264,7.933,5.347,0.496,0.0,0.035,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-29,263.0,32.0,24.143,2.0,0.0,0.143,65.196,7.933,5.985,0.496,0.0,0.035,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-30,298.0,35.0,27.0,2.0,0.0,0.143,73.873,8.676,6.693,0.496,0.0,0.035,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-03-31,353.0,55.0,32.571,4.0,2.0,0.429,87.507,13.634,8.074,0.992,0.496,0.106,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,-20.04
MDA,Europe,Moldova,2020-04-01,423.0,70.0,39.143,5.0,1.0,0.571,104.86,17.353,9.703,1.239,0.248,0.142,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-04-02,505.0,82.0,46.857,6.0,1.0,0.714,125.187,20.327,11.616,1.487,0.248,0.177,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-04-03,591.0,86.0,56.0,8.0,2.0,0.857,146.506,21.319,13.882,1.983,0.496,0.212,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-04-04,752.0,161.0,74.429,12.0,4.0,1.429,186.417,39.911,18.45,2.975,0.992,0.354,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MDA,Europe,Moldova,2020-04-05,864.0,112.0,85.857,15.0,3.0,1.857,214.181,27.764,21.284,3.718,0.744,0.46,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
