iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BEL,Europe,Belgium,2020-02-04,1.0,1.0,,,,,0.086,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-05,1.0,0.0,,,,,0.086,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-06,1.0,0.0,,,,,0.086,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-07,1.0,0.0,,,,,0.086,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-08,1.0,0.0,,,,,0.086,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-09,1.0,0.0,0.143,,,0.0,0.086,0.0,0.012,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-10,1.0,0.0,0.143,,,0.0,0.086,0.0,0.012,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-11,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-12,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-13,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-14,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-15,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-16,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-17,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-18,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-19,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-20,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-21,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-22,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-23,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-24,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-25,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-26,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-27,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-28,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-02-29,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-01,2.0,1.0,0.143,,,0.0,0.173,0.086,0.012,,,0.0,,,,,,,,,,82.0,82.0,0.007,0.007,,,,,tests performed,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-02,8.0,6.0,1.0,,,0.0,0.69,0.518,0.086,,,0.0,,,,,,,,,,317.0,399.0,0.034,0.027,,,,,tests performed,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-03,13.0,5.0,1.714,,,0.0,1.122,0.431,0.148,,,0.0,,,,,,,,,,538.0,937.0,0.081,0.046,,,,,tests performed,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-04,23.0,10.0,3.143,,,0.0,1.985,0.863,0.271,,,0.0,,,,,,,,,,701.0,1638.0,0.141,0.06,,,,,tests performed,,,,,,,,,,13.89,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-05,50.0,27.0,7.0,,,0.0,4.314,2.33,0.604,,,0.0,,,,,,,,,,773.0,2411.0,0.208,0.067,,,,,tests performed,,,,,,,,,,13.89,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-06,109.0,59.0,15.429,,,0.0,9.405,5.091,1.331,,,0.0,,,,,,,,,,1119.0,3530.0,0.305,0.097,,,,,tests performed,,,,,,,,,,13.89,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-07,169.0,60.0,24.0,,,0.0,14.582,5.177,2.071,,,0.0,2.45,,,,,,,,,475.0,4005.0,0.346,0.041,,,0.062,16.1,tests performed,,,,,,,,,,13.89,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-08,200.0,31.0,28.286,,,0.0,17.257,2.675,2.441,,,0.0,2.42,,,,,,,,,483.0,4488.0,0.387,0.042,629.0,0.054,0.068,14.7,tests performed,,,,,,,,,,13.89,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-09,239.0,39.0,33.0,,,0.0,20.622,3.365,2.847,,,0.0,2.41,,,,,,,,,610.0,5098.0,0.44,0.053,671.0,0.058,0.069,14.5,tests performed,,,,,,,,,,13.89,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-10,267.0,28.0,36.286,,,0.0,23.038,2.416,3.131,,,0.0,2.41,,,,,,,,,804.0,5902.0,0.509,0.069,709.0,0.061,0.073,13.7,tests performed,,,,,,,,,,19.44,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-11,314.0,47.0,41.571,3.0,3.0,0.429,27.093,4.055,3.587,0.259,0.259,0.037,2.45,,,,,,,,,1108.0,7010.0,0.605,0.096,767.0,0.066,0.079,12.7,tests performed,,,,,,,,,,19.44,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-12,314.0,0.0,37.714,3.0,0.0,0.429,27.093,0.0,3.254,0.259,0.0,0.037,2.5,,,,,,,,,1438.0,8448.0,0.729,0.124,862.0,0.074,0.084,11.9,tests performed,,,,,,,,,,19.44,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-13,559.0,245.0,64.286,3.0,0.0,0.429,48.233,21.14,5.547,0.259,0.0,0.037,2.6,,,,,,,,,2524.0,10972.0,0.947,0.218,1063.0,0.092,0.09,11.1,tests performed,,,,,,,,,,23.15,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-14,689.0,130.0,74.286,4.0,1.0,0.571,59.45,11.217,6.41,0.345,0.086,0.049,2.55,,,,,,,,,2171.0,13143.0,1.134,0.187,1305.0,0.113,0.089,11.2,tests performed,,,,,,,,,,50.93,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-15,886.0,197.0,98.0,4.0,0.0,0.571,76.448,16.998,8.456,0.345,0.0,0.049,2.5,54.0,4.659,266.0,22.952,,,1532.885,132.264,1269.0,14412.0,1.244,0.109,1418.0,0.122,0.095,10.5,tests performed,,,,,,,,,,50.93,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-16,1058.0,172.0,117.0,5.0,1.0,0.714,91.289,14.841,10.095,0.431,0.086,0.062,2.45,79.0,6.816,370.0,31.925,,,,,1892.0,16304.0,1.407,0.163,1601.0,0.138,0.104,9.6,tests performed,,,,,,,,,,50.93,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-17,1243.0,185.0,139.429,10.0,5.0,1.429,107.251,15.963,12.03,0.863,0.431,0.123,2.4,100.0,8.628,497.0,42.883,,,,,2255.0,18559.0,1.601,0.195,1808.0,0.156,0.122,8.2,tests performed,,,,,,,,,,50.93,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-18,1486.0,243.0,167.429,14.0,4.0,1.571,128.218,20.967,14.446,1.208,0.345,0.136,2.37,130.0,11.217,646.0,55.74,,,,,2714.0,21273.0,1.836,0.234,2038.0,0.176,0.136,7.4,tests performed,,,,,,,,,,73.15,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-19,1795.0,309.0,211.571,21.0,7.0,2.571,154.88,26.662,18.255,1.812,0.604,0.222,2.33,165.0,14.237,844.0,72.824,,,,,3395.0,24668.0,2.128,0.293,2317.0,0.2,0.155,6.5,tests performed,,,,,,,,,,73.15,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-20,2257.0,462.0,242.571,37.0,16.0,4.857,194.743,39.863,20.93,3.193,1.381,0.419,2.3,228.0,19.673,1101.0,94.999,,,,,3120.0,27788.0,2.398,0.269,2402.0,0.207,0.183,5.5,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-21,2815.0,558.0,303.714,67.0,30.0,9.0,242.89,48.147,26.206,5.781,2.589,0.777,2.26,290.0,25.022,1384.0,119.417,,,,,2276.0,30064.0,2.594,0.196,2417.0,0.209,0.21,4.8,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-22,3401.0,586.0,359.286,75.0,8.0,10.143,293.452,50.563,31.001,6.471,0.69,0.875,2.2,322.0,27.783,1646.0,142.024,,,1532.885,132.264,1414.0,31478.0,2.716,0.122,2438.0,0.21,0.222,4.5,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-23,3743.0,342.0,383.571,88.0,13.0,11.857,322.962,29.509,33.096,7.593,1.122,1.023,2.14,385.0,33.219,1883.0,162.473,,,,,3322.0,34800.0,3.003,0.287,2642.0,0.228,0.251,4.0,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-24,4269.0,526.0,432.286,122.0,34.0,16.0,368.347,45.385,37.299,10.527,2.934,1.381,2.1,474.0,40.899,2140.0,184.648,,,,,3975.0,38775.0,3.346,0.343,2888.0,0.249,0.274,3.6,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-25,4937.0,668.0,493.0,178.0,56.0,23.429,425.985,57.638,42.538,15.359,4.832,2.022,2.07,612.0,52.806,2721.0,234.779,,,,,4282.0,43057.0,3.715,0.369,3112.0,0.269,0.294,3.4,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-26,6235.0,1298.0,634.286,220.0,42.0,28.429,537.982,111.997,54.729,18.983,3.624,2.453,2.04,690.0,59.536,3077.0,265.496,,,,,4363.0,47420.0,4.092,0.376,3250.0,0.28,0.312,3.2,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-27,7284.0,1049.0,718.143,289.0,69.0,36.0,628.494,90.512,61.964,24.936,5.954,3.106,1.99,789.0,68.078,3650.0,314.937,,,,,4930.0,52350.0,4.517,0.425,3509.0,0.303,0.319,3.1,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-28,9134.0,1850.0,902.714,353.0,64.0,40.857,788.119,159.626,77.89,30.458,5.522,3.525,1.93,867.0,74.808,4089.0,352.816,,,,,3850.0,56200.0,4.849,0.332,3734.0,0.322,0.324,3.1,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-29,10836.0,1702.0,1062.143,431.0,78.0,50.857,934.975,146.856,91.646,37.188,6.73,4.388,1.85,942.0,81.28,4480.0,386.553,,,3511.353,302.974,2419.0,58619.0,5.058,0.209,3877.0,0.335,0.327,3.1,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-30,11899.0,1063.0,1165.143,513.0,82.0,60.714,1026.695,91.72,100.533,44.264,7.075,5.239,1.76,1021.0,88.096,4897.0,422.533,,,,,4101.0,62720.0,5.412,0.354,3989.0,0.344,0.325,3.1,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-03-31,12775.0,876.0,1215.143,705.0,192.0,83.286,1102.28,75.585,104.848,60.83,16.567,7.186,1.68,1088.0,93.877,4989.0,430.472,,,,,6432.0,69152.0,5.967,0.555,4340.0,0.374,0.318,3.1,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-04-01,13964.0,1189.0,1289.571,828.0,123.0,92.857,1204.872,102.592,111.27,71.443,10.613,8.012,1.62,1144.0,98.709,5220.0,450.403,,,,,5891.0,75043.0,6.475,0.508,4569.0,0.394,0.311,3.2,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-04-02,15348.0,1384.0,1301.857,1011.0,183.0,113.0,1324.289,119.417,112.33,87.233,15.79,9.75,1.56,1205.0,103.972,5383.0,464.468,,,,,6088.0,81131.0,7.0,0.525,4816.0,0.416,0.302,3.3,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-04-03,16770.0,1422.0,1355.143,1143.0,132.0,122.0,1446.985,122.696,116.927,98.623,11.39,10.527,1.51,1245.0,107.424,5513.0,475.684,,,,,6718.0,87849.0,7.58,0.58,5071.0,0.438,0.297,3.4,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-04-04,18431.0,1661.0,1328.143,1283.0,140.0,132.857,1590.303,143.318,114.598,110.703,12.08,11.463,1.46,1261.0,108.804,5531.0,477.238,,,,,5368.0,93217.0,8.043,0.463,5288.0,0.456,0.29,3.4,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-04-05,19691.0,1260.0,1265.0,1447.0,164.0,145.143,1699.021,108.718,109.149,124.853,14.151,12.524,1.4,1267.0,109.322,5620.0,484.917,,,3564.662,307.574,3828.0,97045.0,8.373,0.33,5489.0,0.474,0.282,3.5,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEL,Europe,Belgium,2020-04-06,20814.0,1123.0,1273.571,1632.0,185.0,159.857,1795.918,96.897,109.889,140.816,15.963,13.793,1.36,1260.0,108.718,5759.0,496.91,,,,,5840.0,102885.0,8.877,0.504,5738.0,0.495,0.273,3.7,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
