iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BLZ,North America,Belize,2020-03-23,1.0,1.0,,,,,2.515,2.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BLZ,North America,Belize,2020-03-24,1.0,0.0,,,,,2.515,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BLZ,North America,Belize,2020-03-25,2.0,1.0,,,,,5.03,2.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BLZ,North America,Belize,2020-03-26,2.0,0.0,,,,,5.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BLZ,North America,Belize,2020-03-27,2.0,0.0,,,,,5.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BLZ,North America,Belize,2020-03-28,2.0,0.0,0.286,,,0.0,5.03,0.0,0.719,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BLZ,North America,Belize,2020-03-29,2.0,0.0,0.286,,,0.0,5.03,0.0,0.719,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BLZ,North America,Belize,2020-03-30,3.0,1.0,0.286,,,0.0,7.545,2.515,0.719,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BLZ,North America,Belize,2020-03-31,3.0,0.0,0.286,,,0.0,7.545,0.0,0.719,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BLZ,North America,Belize,2020-04-01,3.0,0.0,0.143,,,0.0,7.545,0.0,0.359,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BLZ,North America,Belize,2020-04-02,3.0,0.0,0.143,,,0.0,7.545,0.0,0.359,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BLZ,North America,Belize,2020-04-03,4.0,1.0,0.286,,,0.0,10.06,2.515,0.719,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BLZ,North America,Belize,2020-04-04,4.0,0.0,0.286,,,0.0,10.06,0.0,0.719,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BLZ,North America,Belize,2020-04-05,5.0,1.0,0.429,,,0.0,12.575,2.515,1.078,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BLZ,North America,Belize,2020-04-06,7.0,2.0,0.571,1.0,1.0,0.143,17.605,5.03,1.437,2.515,2.515,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BLZ,North America,Belize,2020-04-07,7.0,0.0,0.571,1.0,0.0,0.143,17.605,0.0,1.437,2.515,0.0,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
