iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
TTO,North America,Trinidad and Tobago,2020-03-14,2.0,2.0,,,,,1.425,1.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TTO,North America,Trinidad and Tobago,2020-03-15,2.0,0.0,,,,,1.425,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TTO,North America,Trinidad and Tobago,2020-03-16,4.0,2.0,,,,,2.85,1.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TTO,North America,Trinidad and Tobago,2020-03-17,5.0,1.0,,,,,3.563,0.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TTO,North America,Trinidad and Tobago,2020-03-18,7.0,2.0,,,,,4.988,1.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TTO,North America,Trinidad and Tobago,2020-03-19,9.0,2.0,1.286,,,0.0,6.413,1.425,0.916,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TTO,North America,Trinidad and Tobago,2020-03-20,9.0,0.0,1.286,,,0.0,6.413,0.0,0.916,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TTO,North America,Trinidad and Tobago,2020-03-21,49.0,40.0,6.714,,,0.0,34.916,28.503,4.784,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TTO,North America,Trinidad and Tobago,2020-03-22,50.0,1.0,6.857,,,0.0,35.628,0.713,4.886,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TTO,North America,Trinidad and Tobago,2020-03-23,51.0,1.0,6.714,,,0.0,36.341,0.713,4.784,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TTO,North America,Trinidad and Tobago,2020-03-24,57.0,6.0,7.429,,,0.0,40.616,4.275,5.293,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TTO,North America,Trinidad and Tobago,2020-03-25,60.0,3.0,7.571,1.0,1.0,0.143,42.754,2.138,5.395,0.713,0.713,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TTO,North America,Trinidad and Tobago,2020-03-26,65.0,5.0,8.0,1.0,0.0,0.143,46.317,3.563,5.701,0.713,0.0,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TTO,North America,Trinidad and Tobago,2020-03-27,66.0,1.0,8.143,2.0,1.0,0.286,47.03,0.713,5.802,1.425,0.713,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TTO,North America,Trinidad and Tobago,2020-03-28,74.0,8.0,3.571,3.0,1.0,0.429,52.73,5.701,2.545,2.138,0.713,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TTO,North America,Trinidad and Tobago,2020-03-29,78.0,4.0,4.0,3.0,0.0,0.429,55.58,2.85,2.85,2.138,0.0,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
