iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
PRT,Europe,Portugal,2020-01-06,,,,,,,,,,,,,,,,,,,,1.981,0.194,,,,,,,,,,,,,,,,,,,0.0,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
PRT,Europe,Portugal,2020-01-18,,,,,,,,,,,,,,,,,,,,8.913,0.874,,,,,,,,,,,,,,,,,,,0.0,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
PRT,Europe,Portugal,2020-01-24,,,,,,,,,,,,,,,,,,,,5.942,0.583,,,,,,,,,,,,,,,,,,,0.0,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
PRT,Europe,Portugal,2020-02-02,,,,,,,,,,,,,,,,,,,,9.904,0.971,,,,,,,,,,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,0.16
PRT,Europe,Portugal,2020-02-09,,,,,,,,,,,,,,,,,,,,9.904,0.971,,,,,,,,,,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,-5.93
PRT,Europe,Portugal,2020-02-15,,,,,,,,,,,,,,,,,,,,15.846,1.554,,,,,,,,,,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
PRT,Europe,Portugal,2020-02-23,,,,,,,,,,,,,,,,,,,,19.807,1.943,,,,,,,,,,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,-5.86
PRT,Europe,Portugal,2020-02-26,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
PRT,Europe,Portugal,2020-02-27,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
PRT,Europe,Portugal,2020-02-28,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
PRT,Europe,Portugal,2020-02-29,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
PRT,Europe,Portugal,2020-03-01,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,28.721,2.817,,25.0,0.002,,,,,,tests performed,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,-6.26
PRT,Europe,Portugal,2020-03-02,2.0,2.0,,,,,0.196,0.196,,,,,,0.0,0.0,0.0,0.0,,,,,45.0,70.0,0.007,0.004,,,,,tests performed,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
PRT,Europe,Portugal,2020-03-03,2.0,0.0,,,,,0.196,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,61.0,131.0,0.013,0.006,,,,,tests performed,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
PRT,Europe,Portugal,2020-03-04,5.0,3.0,,,,,0.49,0.294,,,,,,0.0,0.0,0.0,0.0,,,,,40.0,171.0,0.017,0.004,,,,,tests performed,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
PRT,Europe,Portugal,2020-03-05,8.0,3.0,,,,,0.785,0.294,,,,,,0.0,0.0,9.0,0.883,,,,,80.0,251.0,0.025,0.008,,,,,tests performed,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
PRT,Europe,Portugal,2020-03-06,13.0,5.0,,,,,1.275,0.49,,,,,,0.0,0.0,13.0,1.275,,,,,81.0,332.0,0.033,0.008,,,,,tests performed,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
PRT,Europe,Portugal,2020-03-07,20.0,7.0,2.857,,,0.0,1.961,0.686,0.28,,,0.0,,0.0,0.0,21.0,2.059,,,,,79.0,411.0,0.04,0.008,,,,,tests performed,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
PRT,Europe,Portugal,2020-03-08,30.0,10.0,4.286,,,0.0,2.942,0.981,0.42,,,0.0,,0.0,0.0,30.0,2.942,,,85.171,8.353,84.0,495.0,0.049,0.008,67.0,0.007,0.064,15.6,tests performed,,,,,,,,,,5.56,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,-6.69
PRT,Europe,Portugal,2020-03-09,30.0,0.0,4.0,,,0.0,2.942,0.0,0.392,,,0.0,,0.0,0.0,38.0,3.727,,,,,175.0,670.0,0.066,0.017,86.0,0.008,0.047,21.5,tests performed,,,,,,,,,,27.31,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
PRT,Europe,Portugal,2020-03-10,41.0,11.0,5.571,,,0.0,4.021,1.079,0.546,,,0.0,,0.0,0.0,40.0,3.923,,,,,306.0,976.0,0.096,0.03,121.0,0.012,0.046,21.7,tests performed,,,,,,,,,,35.65,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
