iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
VNM,Asia,Vietnam,2020-01-23,2.0,2.0,,,,,0.021,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,
VNM,Asia,Vietnam,2020-01-24,2.0,0.0,,,,,0.021,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,
VNM,Asia,Vietnam,2020-01-25,2.0,0.0,,,,,0.021,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,
VNM,Asia,Vietnam,2020-01-26,2.0,0.0,,,,,0.021,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,
VNM,Asia,Vietnam,2020-01-27,2.0,0.0,,,,,0.021,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,
VNM,Asia,Vietnam,2020-01-28,2.0,0.0,0.286,,,0.0,0.021,0.0,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,
VNM,Asia,Vietnam,2020-01-29,2.0,0.0,0.286,,,0.0,0.021,0.0,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.15,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,
VNM,Asia,Vietnam,2020-01-30,2.0,0.0,0.0,,,0.0,0.021,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.93,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,
VNM,Asia,Vietnam,2020-01-31,2.0,0.0,0.0,,,0.0,0.021,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.93,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,
VNM,Asia,Vietnam,2020-02-01,6.0,4.0,0.571,,,0.0,0.062,0.041,0.006,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,
