iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
SEN,Africa,Senegal,2020-02-28,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,,,,,tests performed,,,,,,,,,,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-02,1.0,1.0,,,,,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-03,2.0,1.0,,,,,0.119,0.06,,,,,,,,,,,,,,2.0,3.0,0.0,0.0,,,,,tests performed,,,,,,,,,,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-04,4.0,2.0,,,,,0.239,0.119,,,,,,,,,,,,,,11.0,14.0,0.001,0.001,,,,,tests performed,,,,,,,,,,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-05,4.0,0.0,,,,,0.239,0.0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-06,4.0,0.0,,,,,0.239,0.0,,,,,,,,,,,,,,2.0,16.0,0.001,0.0,2.0,0.0,,,tests performed,,,,,,,,,,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-07,4.0,0.0,0.571,,,0.0,0.239,0.0,0.034,,,0.0,,,,,,,,,,2.0,18.0,0.001,0.0,2.0,0.0,0.286,3.5,tests performed,,,,,,,,,,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-08,4.0,0.0,0.571,,,0.0,0.239,0.0,0.034,,,0.0,,,,,,,,,,2.0,20.0,0.001,0.0,3.0,0.0,0.19,5.3,tests performed,,,,,,,,,,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-09,4.0,0.0,0.429,,,0.0,0.239,0.0,0.026,,,0.0,,,,,,,,,,6.0,26.0,0.002,0.0,3.0,0.0,0.143,7.0,tests performed,,,,,,,,,,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-10,4.0,0.0,0.286,,,0.0,0.239,0.0,0.017,,,0.0,,,,,,,,,,1.0,27.0,0.002,0.0,3.0,0.0,0.095,10.5,tests performed,,,,,,,,,,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-11,4.0,0.0,0.0,,,0.0,0.239,0.0,0.0,,,0.0,,,,,,,,,,8.0,35.0,0.002,0.0,3.0,0.0,0.0,,tests performed,,,,,,,,,,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-12,4.0,0.0,0.0,,,0.0,0.239,0.0,0.0,,,0.0,,,,,,,,,,6.0,41.0,0.002,0.0,4.0,0.0,0.0,,tests performed,,,,,,,,,,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-13,10.0,6.0,0.857,,,0.0,0.597,0.358,0.051,,,0.0,,,,,,,,,,12.0,53.0,0.003,0.001,5.0,0.0,0.171,5.8,tests performed,,,,,,,,,,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-14,10.0,0.0,0.857,,,0.0,0.597,0.0,0.051,,,0.0,,,,,,,,,,3.0,56.0,0.003,0.0,5.0,0.0,0.171,5.8,tests performed,,,,,,,,,,27.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-15,24.0,14.0,2.857,,,0.0,1.433,0.836,0.171,,,0.0,,,,,,,,,,2.0,58.0,0.003,0.0,5.0,0.0,0.571,1.8,tests performed,,,,,,,,,,30.56,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-16,24.0,0.0,2.857,,,0.0,1.433,0.0,0.171,,,0.0,,,,,,,,,,9.0,67.0,0.004,0.001,6.0,0.0,0.476,2.1,tests performed,,,,,,,,,,41.67,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-17,26.0,2.0,3.143,,,0.0,1.553,0.119,0.188,,,0.0,,,,,,,,,,44.0,111.0,0.007,0.003,12.0,0.001,0.262,3.8,tests performed,,,,,,,,,,41.67,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-18,31.0,5.0,3.857,,,0.0,1.851,0.299,0.23,,,0.0,,,,,,,,,,27.0,138.0,0.008,0.002,15.0,0.001,0.257,3.9,tests performed,,,,,,,,,,47.22,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-19,31.0,0.0,3.857,,,0.0,1.851,0.0,0.23,,,0.0,,,,,,,,,,22.0,160.0,0.01,0.001,17.0,0.001,0.227,4.4,tests performed,,,,,,,,,,47.22,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-20,38.0,7.0,4.0,,,0.0,2.269,0.418,0.239,,,0.0,,,,,,,,,,56.0,216.0,0.013,0.003,23.0,0.001,0.174,5.8,tests performed,,,,,,,,,,50.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-21,47.0,9.0,5.286,,,0.0,2.807,0.538,0.316,,,0.0,,,,,,,,,,31.0,247.0,0.015,0.002,27.0,0.002,0.196,5.1,tests performed,,,,,,,,,,50.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-22,67.0,20.0,6.143,,,0.0,4.001,1.194,0.367,,,0.0,,,,,,,,,,85.0,332.0,0.02,0.005,39.0,0.002,0.158,6.3,tests performed,,,,,,,,,,50.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-23,79.0,12.0,7.857,,,0.0,4.718,0.717,0.469,,,0.0,,,,,,,,,,60.0,392.0,0.023,0.004,46.0,0.003,0.171,5.9,tests performed,,,,,,,,,,66.67,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-24,86.0,7.0,8.571,,,0.0,5.136,0.418,0.512,,,0.0,,,,,,,,,,59.0,451.0,0.027,0.004,49.0,0.003,0.175,5.7,tests performed,,,,,,,,,,66.67,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-25,99.0,13.0,9.714,,,0.0,5.913,0.776,0.58,,,0.0,,,,,,,,,,142.0,593.0,0.035,0.008,65.0,0.004,0.149,6.7,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-26,105.0,6.0,10.571,,,0.0,6.271,0.358,0.631,,,0.0,,,,,,,,,,130.0,723.0,0.043,0.008,80.0,0.005,0.132,7.6,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-27,119.0,14.0,11.571,,,0.0,7.107,0.836,0.691,,,0.0,0.91,,,,,,,,,144.0,867.0,0.052,0.009,93.0,0.006,0.124,8.0,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-28,130.0,11.0,11.857,,,0.0,7.764,0.657,0.708,,,0.0,0.91,,,,,,,,,98.0,965.0,0.058,0.006,103.0,0.006,0.115,8.7,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-29,142.0,12.0,10.714,,,0.0,8.481,0.717,0.64,,,0.0,0.91,,,,,,,,,151.0,1116.0,0.067,0.009,112.0,0.007,0.096,10.5,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-30,162.0,20.0,11.857,,,0.0,9.675,1.194,0.708,,,0.0,0.92,,,,,,,,,87.0,1203.0,0.072,0.005,116.0,0.007,0.102,9.8,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-03-31,175.0,13.0,12.714,,,0.0,10.452,0.776,0.759,,,0.0,0.9,,,,,,,,,97.0,1300.0,0.078,0.006,121.0,0.007,0.105,9.5,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-04-01,190.0,15.0,13.0,1.0,1.0,0.143,11.347,0.896,0.776,0.06,0.06,0.009,0.89,,,,,,,,,195.0,1495.0,0.089,0.012,129.0,0.008,0.101,9.9,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-04-02,195.0,5.0,12.857,1.0,0.0,0.143,11.646,0.299,0.768,0.06,0.0,0.009,0.87,,,,,,,,,127.0,1622.0,0.097,0.008,128.0,0.008,0.1,10.0,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-04-03,207.0,12.0,12.571,1.0,0.0,0.143,12.363,0.717,0.751,0.06,0.0,0.009,0.87,,,,,,,,,153.0,1775.0,0.106,0.009,130.0,0.008,0.097,10.3,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-04-04,219.0,12.0,12.714,2.0,1.0,0.286,13.079,0.717,0.759,0.119,0.06,0.017,0.87,,,,,,,,,177.0,1952.0,0.117,0.011,141.0,0.008,0.09,11.1,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-04-05,222.0,3.0,11.429,2.0,0.0,0.286,13.259,0.179,0.683,0.119,0.0,0.017,0.87,,,,,,,,,92.0,2044.0,0.122,0.005,133.0,0.008,0.086,11.6,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-04-06,226.0,4.0,9.143,2.0,0.0,0.286,13.497,0.239,0.546,0.119,0.0,0.017,0.89,,,,,,,,,95.0,2139.0,0.128,0.006,134.0,0.008,0.068,14.7,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-04-07,237.0,11.0,8.857,2.0,0.0,0.286,14.154,0.657,0.529,0.119,0.0,0.017,0.92,,,,,,,,,110.0,2249.0,0.134,0.007,136.0,0.008,0.065,15.4,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-04-08,244.0,7.0,7.714,2.0,0.0,0.143,14.572,0.418,0.461,0.119,0.0,0.009,0.95,,,,,,,,,108.0,2357.0,0.141,0.006,123.0,0.007,0.063,15.9,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-04-09,250.0,6.0,7.857,2.0,0.0,0.143,14.931,0.358,0.469,0.119,0.0,0.009,0.99,,,,,,,,,199.0,2556.0,0.153,0.012,133.0,0.008,0.059,16.9,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-04-10,265.0,15.0,8.286,2.0,0.0,0.143,15.827,0.896,0.495,0.119,0.0,0.009,1.04,,,,,,,,,195.0,2751.0,0.164,0.012,139.0,0.008,0.06,16.8,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-04-11,278.0,13.0,8.429,2.0,0.0,0.0,16.603,0.776,0.503,0.119,0.0,0.0,1.07,,,,,,,,,173.0,2924.0,0.175,0.01,139.0,0.008,0.061,16.5,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-04-12,280.0,2.0,8.286,2.0,0.0,0.0,16.722,0.119,0.495,0.119,0.0,0.0,1.1,,,,,,,,,104.0,3028.0,0.181,0.006,141.0,0.008,0.059,17.0,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-04-13,291.0,11.0,9.286,2.0,0.0,0.0,17.379,0.657,0.555,0.119,0.0,0.0,1.15,,,,,,,,,144.0,3172.0,0.189,0.009,148.0,0.009,0.063,15.9,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-04-14,299.0,8.0,8.857,2.0,0.0,0.0,17.857,0.478,0.529,0.119,0.0,0.0,1.21,,,,,,,,,272.0,3444.0,0.206,0.016,171.0,0.01,0.052,19.3,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SEN,Africa,Senegal,2020-04-15,314.0,15.0,10.0,2.0,0.0,0.0,18.753,0.896,0.597,0.119,0.0,0.0,1.27,,,,,,,,,227.0,3671.0,0.219,0.014,188.0,0.011,0.053,18.8,tests performed,,,,,,,,,,77.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
