iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
AZE,Asia,Azerbaijan,2020-03-01,3.0,3.0,,,,,0.296,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,
AZE,Asia,Azerbaijan,2020-03-02,3.0,0.0,,,,,0.296,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,
AZE,Asia,Azerbaijan,2020-03-03,3.0,0.0,,,,,0.296,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,
AZE,Asia,Azerbaijan,2020-03-04,3.0,0.0,,,,,0.296,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,
AZE,Asia,Azerbaijan,2020-03-05,6.0,3.0,,,,,0.592,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,
AZE,Asia,Azerbaijan,2020-03-06,6.0,0.0,0.857,,,0.0,0.592,0.0,0.085,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,
AZE,Asia,Azerbaijan,2020-03-07,9.0,3.0,1.286,,,0.0,0.888,0.296,0.127,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,
AZE,Asia,Azerbaijan,2020-03-08,9.0,0.0,0.857,,,0.0,0.888,0.0,0.085,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,
AZE,Asia,Azerbaijan,2020-03-09,9.0,0.0,0.857,,,0.0,0.888,0.0,0.085,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,
AZE,Asia,Azerbaijan,2020-03-10,11.0,2.0,1.143,,,0.0,1.085,0.197,0.113,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,
