iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
MLI,Africa,Mali,2020-03-25,2.0,2.0,,,,,0.096,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
MLI,Africa,Mali,2020-03-26,4.0,2.0,,,,,0.192,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
MLI,Africa,Mali,2020-03-27,11.0,7.0,,,,,0.527,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
MLI,Africa,Mali,2020-03-28,18.0,7.0,,,,,0.863,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
MLI,Africa,Mali,2020-03-29,18.0,0.0,,1.0,1.0,,0.863,0.0,,0.048,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
MLI,Africa,Mali,2020-03-30,25.0,7.0,3.571,2.0,1.0,0.286,1.199,0.336,0.171,0.096,0.048,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
MLI,Africa,Mali,2020-03-31,28.0,3.0,4.0,2.0,0.0,0.286,1.343,0.144,0.192,0.096,0.0,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
MLI,Africa,Mali,2020-04-01,31.0,3.0,4.143,3.0,1.0,0.429,1.486,0.144,0.199,0.144,0.048,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
MLI,Africa,Mali,2020-04-02,36.0,5.0,4.571,3.0,0.0,0.429,1.726,0.24,0.219,0.144,0.0,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
MLI,Africa,Mali,2020-04-03,39.0,3.0,4.0,3.0,0.0,0.429,1.87,0.144,0.192,0.144,0.0,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
