iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
DOM,North America,Dominican Republic,2020-03-01,1.0,1.0,,,,,0.092,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
DOM,North America,Dominican Republic,2020-03-02,1.0,0.0,,,,,0.092,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
DOM,North America,Dominican Republic,2020-03-03,1.0,0.0,,,,,0.092,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
DOM,North America,Dominican Republic,2020-03-04,1.0,0.0,,,,,0.092,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
DOM,North America,Dominican Republic,2020-03-05,1.0,0.0,,,,,0.092,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
DOM,North America,Dominican Republic,2020-03-06,2.0,1.0,0.286,,,0.0,0.184,0.092,0.026,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
DOM,North America,Dominican Republic,2020-03-07,2.0,0.0,0.286,,,0.0,0.184,0.0,0.026,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
DOM,North America,Dominican Republic,2020-03-08,5.0,3.0,0.571,,,0.0,0.461,0.277,0.053,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
DOM,North America,Dominican Republic,2020-03-09,5.0,0.0,0.571,,,0.0,0.461,0.0,0.053,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
DOM,North America,Dominican Republic,2020-03-10,5.0,0.0,0.571,,,0.0,0.461,0.0,0.053,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
