iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
SAU,Asia,Saudi Arabia,2020-03-02,1.0,1.0,,,,,0.028,0.028,,,,,,,,,,,,,,160.0,160.0,0.005,0.005,,,,,tests performed,,,,,,,,,,,,,,11.11,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,,,
SAU,Asia,Saudi Arabia,2020-03-03,1.0,0.0,,,,,0.028,0.0,,,,,,,,,,,,,,240.0,400.0,0.011,0.007,,,,,tests performed,,,,,,,,,,,,,,11.11,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,,,
SAU,Asia,Saudi Arabia,2020-03-04,1.0,0.0,,,,,0.028,0.0,,,,,,,,,,,,,,298.0,698.0,0.02,0.008,,,,,tests performed,,,,,,,,,,,,,,11.11,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,,,
SAU,Asia,Saudi Arabia,2020-03-05,5.0,4.0,,,,,0.141,0.113,,,,,,,,,,,,,,487.0,1185.0,0.034,0.014,,,,,tests performed,,,,,,,,,,,,,,11.11,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,,,
SAU,Asia,Saudi Arabia,2020-03-06,5.0,0.0,,,,,0.141,0.0,,,,,,,,,,,,,,1024.0,2209.0,0.063,0.029,,,,,tests performed,,,,,,,,,,,,,,11.11,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,,,
SAU,Asia,Saudi Arabia,2020-03-07,5.0,0.0,0.714,,,,0.141,0.0,0.02,,,,,,,,,,,,,1982.0,4191.0,0.119,0.056,,,,,tests performed,,,,,,,,,,,,,,11.11,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,,,
SAU,Asia,Saudi Arabia,2020-03-08,11.0,6.0,1.571,,,,0.311,0.17,0.044,,,,,,,,,,,,,1788.0,5979.0,0.169,0.051,,,,,tests performed,,,,,,,,,,,,,,19.44,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,,,
SAU,Asia,Saudi Arabia,2020-03-09,15.0,4.0,2.0,,,,0.424,0.113,0.057,,,,,,,,,,,,,2201.0,8180.0,0.231,0.062,1146.0,0.032,0.0017,573.0,tests performed,,,,,,,,,,,,,,30.56,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,,,
SAU,Asia,Saudi Arabia,2020-03-10,20.0,5.0,2.714,,,,0.566,0.141,0.077,,,,,,,,,,,,,3655.0,11835.0,0.335,0.103,1634.0,0.046,0.0017,602.1,tests performed,,,,,,,,,,,,,,30.56,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,,,
SAU,Asia,Saudi Arabia,2020-03-11,21.0,1.0,2.857,,,,0.594,0.028,0.081,,,,,,,,,,,,,2999.0,14834.0,0.42,0.085,2019.0,0.057,0.0014,706.7,tests performed,,,,,,,,,,,,,,30.56,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,,,
